"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.64910709500156e-209,1.7826070788885,1,0.783,8.71105886049362e-205,"0","Adgrb3"
2.08287672787195e-204,1.02401303824353,1,0.924,6.84912354426134e-200,"0","AC134224.3"
3.27179902327421e-193,2.01212909180239,0.99,0.476,1.07586567282326e-188,"0","Sgcd"
7.91425161304409e-187,2.04633711338717,0.981,0.559,2.60244335791729e-182,"0","Plce1"
7.3156239795761e-181,1.71142239357031,1,0.708,2.40559663320401e-176,"0","Dmd"
7.58864522382191e-167,2.09974806277248,0.951,0.574,2.49537420894936e-162,"0","Timp3"
1.30360723518e-165,2.10023935756543,0.938,0.529,4.28665167144241e-161,"0","Gucy1a2"
1.37780093702377e-165,2.58226735990625,0.897,0.492,4.53062282121526e-161,"0","Slc4a4"
1.07292875988788e-164,1.66349006358478,0.995,0.675,3.5281116411393e-160,"0","Grik2"
8.96170354982128e-163,2.30946005871771,0.897,0.515,2.94687697828773e-158,"0","Shank2"
1.55574917503431e-162,2.1374105678182,0.9,0.365,5.11577001226532e-158,"0","Col28a1"
1.77683259597646e-154,1.58707946102965,0.998,0.691,5.84275862534938e-150,"0","Scn7a"
6.81511938102481e-154,1.80118566410497,0.951,0.437,2.24101570606239e-149,"0","Lrrtm3"
7.47371952951234e-153,1.97969649771748,0.913,0.422,2.45758319288954e-148,"0","Sntb1"
9.35216152377006e-152,2.13360737967738,0.878,0.388,3.07527127386131e-147,"0","Il1rapl1"
1.86904190602403e-144,1.90420751855457,0.913,0.529,6.14597049957881e-140,"0","Lrrc4c"
6.78263361317257e-138,2.15953077428373,0.852,0.466,2.23033341101954e-133,"0","Sh3pxd2b"
8.37948301674498e-137,1.74006145930454,0.914,0.428,2.75542540039625e-132,"0","Lgi4"
5.03865586524055e-136,1.5340942153779,0.978,0.535,1.65686120816705e-131,"0","Zeb2"
7.67270021138259e-134,1.35622913770039,0.987,0.71,2.52301401050894e-129,"0","Adgrl3"
1.22177807505956e-130,1.45739545188783,0.967,0.684,4.01757284421834e-126,"0","Sorcs1"
2.98208645067325e-130,1.74758669537932,0.895,0.405,9.80599487574886e-126,"0","Igsf11"
1.39029578785961e-129,1.68637367478822,0.894,0.399,4.57170963921876e-125,"0","AABR07044900.1"
4.86111372100617e-128,1.64779788800055,0.908,0.409,1.59848002487846e-123,"0","Cdh19"
8.21887756121521e-128,1.02236547099474,0.997,0.896,2.7026135084544e-123,"0","Rbms3"
1.76683444434085e-127,1.57037318849923,0.93,0.493,5.809881703326e-123,"0","Celf2"
1.4553031755865e-126,1.34333532343751,0.995,0.568,4.78547343228107e-122,"0","Abca8a"
2.87972604714942e-123,1.87955661859953,0.865,0.606,9.46940316084142e-119,"0","Ncam2"
4.15808325449531e-122,2.17493689368111,0.762,0.321,1.36730251657569e-117,"0","Ttyh1"
6.83735155880758e-122,2.41125828058197,0.706,0.249,2.2483263130827e-117,"0","Eepd1"
6.81100145590001e-120,1.27309299297035,0.994,0.815,2.2396616087436e-115,"0","Apoe"
7.09977953917197e-120,1.19698717518633,0.984,0.546,2.33462050586592e-115,"0","Lama2"
4.94750914975915e-118,2.00722814816134,0.846,0.582,1.6268894337153e-113,"0","Syn3"
3.58461650705549e-116,1.73023084072143,0.875,0.613,1.17872944601506e-111,"0","Mboat2"
2.84871481945231e-114,1.72679081363369,0.887,0.581,9.36742894080503e-110,"0","Sorbs2"
1.39273463312045e-113,2.20966078792587,0.732,0.3,4.57972929408997e-109,"0","Sox5"
4.59788170842649e-113,1.94567033946857,0.833,0.566,1.51192144218188e-108,"0","Tmod2"
5.77258748980804e-111,1.52781996649751,0.878,0.419,1.89819994427358e-106,"0","Plekha4"
1.683149430217e-109,1.92340320967058,0.822,0.506,5.53470027138257e-105,"0","Bcl2"
3.33575329975561e-108,1.57026700331648,0.871,0.479,1.09689575755864e-103,"0","Trpm3"
